manufact,model,sales,resale,type,price,engine_s,horsepow,wheelbas,width,length,curb_wgt,fuel_cap,mpg,lnsales,partition
Acura,Integra,16.919,16.36,0,21.5,1.8,140,101.2,67.3,172.4,2.639,13.2,28,2.828,0
Acura,TL,39.384,19.875,0,28.4,3.2,225,108.1,70.3,192.9,3.517,17.2,25,3.673,0
Acura,RL,8.588,29.725,0,42,3.5,210,114.6,71.4,196.6,3.85,18,22,2.15,0
Audi,A4,20.397,22.255,0,23.99,1.8,150,102.6,68.2,178,2.998,16.4,27,3.015,0
Audi,A6,18.78,23.555,0,33.95,2.8,200,108.7,76.1,192,3.561,18.5,22,2.933,0
Audi,A8,1.38,39,0,62,4.2,310,113,74,198.2,3.902,23.7,21,0.322,0
BMW,328i,9.231,28.675,0,33.4,2.8,193,107.3,68.5,176,3.197,16.6,24,2.223,0
BMW,528i,17.527,36.125,0,38.9,2.8,193,111.4,70.9,188,3.472,18.5,24.8,2.864,0
Buick,Century,91.561,12.475,0,21.975,3.1,175,109,72.7,194.6,3.368,17.5,25,4.517,0
Buick,Regal,39.35,13.74,0,25.3,3.8,240,109,72.7,196.2,3.543,17.5,23,3.672,0
Buick,Park Avenue,27.851,20.19,0,31.965,3.8,205,113.8,74.7,206.8,3.778,18.5,24,3.327,0
Buick,LeSabre,83.257,13.36,0,27.885,3.8,205,112.2,73.5,200,3.591,17.5,25,4.422,0
Cadillac,DeVille,63.729,22.525,0,39.895,4.6,275,115.3,74.5,207.2,3.978,18.5,22,4.155,0
Cadillac,Eldorado,6.536,25.725,0,39.665,4.6,275,108,75.5,200.6,3.843,19,22,1.877,0
Cadillac,Catera,11.185,18.225,0,31.01,3,200,107.4,70.3,194.8,3.77,18,22,2.415,0
Chevrolet,Cavalier,145.519,9.25,0,13.26,2.2,115,104.1,67.9,180.9,2.676,14.3,27,4.98,0
Chevrolet,Malibu,135.126,11.225,0,16.535,3.1,170,107,69.4,190.4,3.051,15,25,4.906,0
Chevrolet,Lumina,24.629,10.31,0,18.89,3.1,175,107.5,72.5,200.9,3.33,16.6,25,3.204,0
Chevrolet,Monte Carlo,42.593,11.525,0,19.39,3.4,180,110.5,72.7,197.9,3.34,17,27,3.752,0
Chevrolet,Camaro,26.402,13.025,0,24.34,3.8,200,101.1,74.1,193.2,3.5,16.8,25,3.273,0
Chevrolet,Corvette,17.947,36.225,0,45.705,5.7,345,104.5,73.6,179.7,3.21,19.1,22,2.887,0
Chevrolet,Prizm,32.299,9.125,0,13.96,1.8,120,97.1,66.7,174.3,2.398,13.2,33,3.475,0
Chevrolet,Metro,21.855,5.16,0,9.235,1,55,93.1,62.6,149.4,1.895,10.3,45,3.084,0
Chrysler,Sebring Coupe,7.854,12.36,0,19.84,2.5,163,103.7,69.7,190.9,2.967,15.9,24,2.061,0
Chrysler,Sebring Conv.,32.775,14.18,0,24.495,2.5,168,106,69.2,193,3.332,16,24,3.49,0
Chrysler,Concorde,31.148,13.725,0,22.245,2.7,200,113,74.4,209.1,3.452,17,26,3.439,0
Chrysler,Cirrus,32.306,12.64,0,16.48,2,132,108,71,186,2.911,16,27,3.475,0
Chrysler,LHS,13.462,17.325,0,28.34,3.5,253,113,74.4,207.7,3.564,17,23,2.6,0
Dodge,Neon,76.034,7.75,0,12.64,2,132,105,74.4,174.4,2.567,12.5,29,4.331,0
Dodge,Avenger,4.734,12.545,0,19.045,2.5,163,103.7,69.1,190.2,2.879,15.9,24,1.555,0
Dodge,Stratus,71.186,10.185,0,20.23,2.5,168,108,71,186,3.058,16,24,4.265,0
Dodge,Viper,0.916,58.47,0,69.725,8,450,96.2,75.7,176.7,3.375,19,16,-0.088,0
Dodge,Ram Pickup,227.061,15.06,1,19.46,5.2,230,138.7,79.3,224.2,4.47,26,17,5.425,0
Dodge,Ram Wagon,16.767,15.51,1,21.315,3.9,175,109.6,78.8,192.6,4.245,32,15,2.819,0
Dodge,Ram Van,31.038,13.425,1,18.575,3.9,175,127.2,78.8,208.5,4.298,32,16,3.435,0
Dodge,Dakota,111.313,11.26,1,16.98,2.5,120,131,71.5,215,3.557,22,19,4.712,0
Dodge,Caravan,181.749,12.025,1,19.565,2.4,150,113.3,76.8,186.3,3.533,20,24,5.203,0
Ford,Escort,70.227,7.425,0,12.07,2,110,98.4,67,174.7,2.468,12.7,30,4.252,0
Ford,Mustang,113.369,12.76,0,21.56,3.8,190,101.3,73.1,183.2,3.203,15.7,24,4.731,0
Ford,Contour,35.068,8.835,0,17.035,2.5,170,106.5,69.1,184.6,2.769,15,25,3.557,0
Ford,Taurus,245.815,10.055,0,17.885,3,155,108.5,73,197.6,3.368,16,24,5.505,0
Ford,Crown Victoria,63.403,14.21,0,22.195,4.6,200,114.7,78.2,212,3.908,19,21,4.15,0
Ford,Explorer,276.747,16.64,1,31.93,4,210,111.6,70.2,190.7,3.876,21,19,5.623,0
Ford,Windstar,155.787,13.175,1,21.41,3,150,120.7,76.6,200.9,3.761,26,21,5.048,0
Ford,Expedition,125.338,23.575,1,36.135,4.6,240,119,78.7,204.6,4.808,26,16,4.831,0
Ford,Ranger,220.65,7.85,1,12.05,2.5,119,117.5,69.4,200.7,3.086,20,23,5.397,0
Ford,F-Series,540.561,15.075,1,26.935,4.6,220,138.5,79.1,224.5,4.241,25.1,18,6.293,0
Honda,Civic,199.685,9.85,0,12.885,1.6,106,103.2,67.1,175.1,2.339,11.9,32,5.297,0
Honda,Accord,230.902,13.21,0,15.35,2.3,135,106.9,70.3,188.8,2.932,17.1,27,5.442,0
Honda,CR-V,73.203,17.71,1,20.55,2,146,103.2,68.9,177.6,3.219,15.3,24,4.293,0
Honda,Passport,12.855,17.525,1,26.6,3.2,205,106.4,70.4,178.2,3.857,21.1,19,2.554,0
Honda,Odyssey,76.029,19.49,1,26,3.5,210,118.1,75.6,201.2,4.288,20,23,4.331,0
Hyundai,Accent,41.184,5.86,0,9.699,1.5,92,96.1,65.7,166.7,2.24,11.9,31,3.718,0
Hyundai,Elantra,66.692,7.825,0,11.799,2,140,100.4,66.9,174,2.626,14.5,27,4.2,0
Hyundai,Sonata,29.45,8.91,0,14.999,2.4,148,106.3,71.6,185.4,3.072,17.2,25,3.383,0
Infiniti,I30,23.713,19.69,0,29.465,3,227,108.3,70.2,193.7,3.342,18.5,25,3.166,0
Jeep,Wrangler,55.557,13.475,1,14.46,2.5,120,93.4,66.7,152,3.045,19,17,4.017,0
Jeep,Cherokee,80.556,13.775,1,21.62,4,190,101.4,69.4,167.5,3.194,20,20,4.389,0
Jeep,Grand Cherokee,157.04,18.81,1,26.895,4,195,105.9,72.3,181.5,3.88,20.5,19,5.057,0
